id,0,modularity_class,degree,clustering,eigencentrality
ES,Utilities,2,88,0.7685475444096134,0.28879428926802425
STT,Financials,3,91,0.7912087912087912,0.3639177773320596
LUV,Industrials,3,53,0.8577648766328012,0.21844578709585055
MUR,Energy,1,88,0.79858934169279,0.2722992826000883
WYN,Consumer Discretionary,3,123,0.6850593096094896,0.44894511675898413
LUK,Financials,3,121,0.7329201101928374,0.47979275189820925
VZ,Telecommunications Services,2,161,0.6767857142857143,0.6199550523779237
LNT,Utilities,2,88,0.7515673981191222,0.27667608320656095
ECL,Materials,2,277,0.4470517448856799,0.8821424240787519
SEE,Materials,3,63,0.8766001024065541,0.2684803323907395
PVH,Consumer Discretionary,3,109,0.7981651376146789,0.41049397029291934
DGX,Health Care,2,27,0.7834757834757835,0.09950224570867033
NUE,Materials,1,137,0.6441605839416058,0.47271288012811763
EXPE,Consumer Discretionary,1,71,0.7790744466800805,0.2909321591497387
EXPD,Industrials,3,152,0.7416347159288951,0.6052466012046119
UNP,Industrials,1,55,0.9111111111111111,0.24834786219780441
UDR,Real Estate,3,209,0.6038369525211631,0.7533430790917376
ETFC,Financials,3,7,1.0,0.022950209195032927
DUK,Utilities,2,64,0.8129960317460317,0.19491406373078693
XL,Financials,3,23,0.9011857707509882,0.07672270657248781
VTR,Real Estate,3,173,0.7133351256889366,0.6692347921517035
CLX,Consumer Staples,2,19,0.8596491228070176,0.06552068040925625
CMA,Financials,3,76,0.756140350877193,0.24568108108507244
BBY,Consumer Discretionary,3,224,0.55625400384369,0.7738482885574961
FRT,Real Estate,3,172,0.6963824289405685,0.6474477275000636
UNH,Health Care,2,10,0.5333333333333333,0.019465071697240523
BBT,Financials,3,92,0.7720974677496416,0.3208528181876383
UNM,Financials,3,119,0.6379433129183877,0.44076488369027855
OMC,Consumer Discretionary,2,215,0.5461856118235167,0.7459924174501545
KO,Consumer Staples,2,38,0.8805120910384068,0.12384205121114457
VMC,Materials,3,102,0.8180935740632886,0.40533813989499334
ARNC,Industrials,1,153,0.6287409700722394,0.5089555751001847
KR,Consumer Staples,3,1,0.0,0.005224030985602618
LNC,Financials,3,20,0.7631578947368421,0.060146545569883025
KEY,Financials,3,36,0.846031746031746,0.10880218888839194
ITW,Industrials,2,327,0.39400761711787774,0.9903896275972961
KLAC,Information Technology,1,73,0.8318112633181126,0.30510318324146224
BF-B,Consumer Staples,2,33,0.8636363636363636,0.12120036567379201
SWK,Consumer Discretionary,3,306,0.40792885460195005,0.938442799542978
PNR,Industrials,1,224,0.553331197950032,0.788809381132343
WYNN,Consumer Discretionary,3,24,0.9855072463768116,0.08779823828871004
SWN,Energy,1,83,0.8204525418748163,0.24652682327846706
AAL,Industrials,0,3,1.0,2.4928526514766714E-4
DD,Materials,1,335,0.38376977388506567,1.0
DE,Industrials,1,105,0.7078754578754579,0.3610333470473827
AAP,Consumer Discretionary,3,59,0.8988895382817066,0.2575255949809863
WBA,Consumer Staples,2,143,0.6854131783709249,0.5508797951140846
TGT,Consumer Discretionary,3,169,0.6828684136376444,0.6345508762607102
HBAN,Financials,3,17,1.0,0.04228665008378392
PCG,Utilities,2,69,0.7817561807331628,0.20615425871381995
ATVI,Information Technology,1,32,0.8104838709677419,0.13179168565565383
AKAM,Information Technology,1,32,0.8770161290322581,0.1329197542116292
INTC,Information Technology,1,175,0.6287684729064039,0.6526000144975715
HOLX,Health Care,1,1,0.0,8.629527392814987E-4
M,Consumer Discretionary,3,94,0.7968428277282087,0.3699196214235113
MLM,Materials,3,83,0.8119306494269762,0.3359428940663629
INTU,Information Technology,1,153,0.7125042999656003,0.6033421640008556
SLG,Real Estate,3,88,0.8197492163009404,0.3314369816929689
DHR,Industrials,3,235,0.5525731951263866,0.8329065016334668
SLB,Energy,1,103,0.7635636778983438,0.338730830504135
AJG,Financials,3,27,0.9487179487179487,0.0904534844846327
MCO,Financials,3,206,0.6192753966374616,0.7584530702198793
MCK,Health Care,2,64,0.7624007936507936,0.23828454135677896
MCD,Consumer Discretionary,2,87,0.8104784816893879,0.3566708472861547
NRG,Utilities,1,90,0.7463171036204744,0.26702828352543007
PBCT,Financials,3,73,0.8363774733637748,0.3049118987045041
R,Industrials,3,92,0.8468705207835643,0.36249975541068447
AXP,Financials,3,230,0.5473704195936966,0.7957783118303684
EXC,Utilities,2,163,0.6137241536014543,0.5530552222879882
WM,Industrials,2,115,0.7022120518688024,0.41318636700799405
SRCL,Industrials,2,33,0.9318181818181818,0.1477821382150963
WU,Information Technology,2,49,0.9175170068027211,0.2171312164735613
EXR,Real Estate,3,168,0.6544054747647562,0.6034521847320921
WY,Real Estate,3,170,0.6904977375565611,0.6618309886637507
VNO,Real Estate,3,224,0.5642216527866752,0.7764959523396789
SPLS,Consumer Discretionary,3,251,0.5129561752988048,0.8533450246078138
HST,Real Estate,3,239,0.5307830245068739,0.8154596522630582
RIG,Energy,1,79,0.8341447581953911,0.24482861035017683
HSY,Consumer Staples,2,5,1.0,0.0215028425651413
CTSH,Information Technology,1,157,0.6729544341009309,0.6025061855143815
GPN,Information Technology,1,7,1.0,0.035975968699392756
HAL,Energy,1,113,0.6959544879898862,0.3507723319548971
FITB,Financials,3,26,0.9476923076923077,0.07916158161387869
EQR,Real Estate,3,146,0.7125177137458668,0.5356926147864027
EQT,Energy,1,121,0.6911845730027548,0.3882407868841251
GPC,Consumer Discretionary,3,188,0.6414267834793492,0.7005126342206576
XLNX,Information Technology,1,85,0.8630252100840337,0.3688692788326801
HAS,Consumer Discretionary,3,63,0.9237071172555044,0.2612382974801341
PH,Industrials,1,242,0.518432152532492,0.8303505263336818
GPS,Consumer Discretionary,3,105,0.7840659340659341,0.4254264509017476
PHM,Consumer Discretionary,3,64,0.8531746031746031,0.21721173198461624
SYK,Health Care,2,78,0.7425907425907425,0.2987573263521175
LEG,Industrials,3,118,0.8055917716934666,0.4798868697910651
KIM,Real Estate,3,147,0.7146584661261765,0.5337195887165413
SYY,Consumer Staples,2,114,0.7197640117994101,0.4408121885547692
AEP,Utilities,2,95,0.7433370660694288,0.31459844454881225
AES,Utilities,2,38,0.9046941678520626,0.11145403132296884
AET,Health Care,2,13,0.5641025641025641,0.03593160731617322
EMN,Materials,1,115,0.6860411899313501,0.40657232806335575
ESRX,Health Care,2,88,0.796760710553814,0.3599052171213151
