id,0,degree,modularity_class,eigencentrality,clustering
EOG,Energy,20,19,0.024734215891064695,0.8842105263157894
CPB,Consumer Staples,3,22,0.0011264022345431803,1.0
QRVO,Information Technology,3,23,0.0028607019307918934,1.0
JWN,Consumer Discretionary,2,9,4.810247026176431E-4,1.0
JBHT,Industrials,2,25,0.012534961963089526,0.0
TAP,Consumer Staples,1,22,5.322801041756912E-4,0.0
VRTX,Health Care,3,7,7.831829488861132E-4,0.6666666666666666
BWA,Consumer Discretionary,24,5,0.3090881043821807,0.6884057971014492
UAL,Industrials,4,12,0.0014176641160635033,1.0
UAA,Consumer Discretionary,1,0,2.1229114732236037E-4,0.0
SPG,Real Estate,14,1,0.008811531633167592,0.7362637362637363
FIS,Information Technology,1,23,5.784773835088104E-4,0.0
GT,Consumer Discretionary,2,5,0.010024831467699778,1.0
GS,Financials,59,5,0.8393521552892872,0.7960257159555816
WRK,Materials,2,25,0.02017651771704461,0.0
ROP,Industrials,1,25,0.007947209288872185,0.0
GE,Industrials,33,25,0.392975853213394,0.6022727272727273
GD,Industrials,4,10,0.02740834345968792,0.16666666666666666
VAR,Health Care,7,23,0.01026536933241901,0.3333333333333333
GM,Consumer Discretionary,3,5,0.013386287656363903,1.0
BRK-B,Financials,65,5,0.7935373612877354,0.5822115384615385
MAS,Industrials,11,23,0.03703954103518655,0.2727272727272727
MAR,Consumer Discretionary,4,25,0.035715611201187485,0.3333333333333333
SNA,Consumer Discretionary,4,23,0.04198437159798122,0.6666666666666666
FOXA,Consumer Discretionary,3,11,0.00120598547544481,1.0
SNI,Consumer Discretionary,2,11,9.443321976231904E-4,1.0
MAA,Real Estate,7,1,0.0040597538181601795,0.7619047619047619
MAC,Real Estate,14,1,0.008659269320293051,0.7362637362637363
YUM,Consumer Discretionary,3,23,0.028275638086949887,0.6666666666666666
XYL,Industrials,41,25,0.3959921281568705,0.501219512195122
TSO,Energy,3,3,0.00318296060504972,1.0
BEN,Financials,67,5,0.8608492865794108,0.642243328810493
CMI,Industrials,18,25,0.18511195889260876,0.7908496732026143
CME,Financials,1,2,2.2986037226050253E-4,0.0
DTE,Utilities,24,22,0.03597408886689767,0.9710144927536232
CMS,Utilities,27,22,0.038159617038925585,0.8233618233618234
PCG,Utilities,25,22,0.03679097797794632,0.93
VLO,Energy,3,3,0.0031829606050497203,1.0
HUM,Health Care,1,17,2.68115009677597E-4,0.0
PCLN,Consumer Discretionary,2,23,0.011982477113677765,0.0
HCP,Real Estate,2,1,0.0010732672985011432,1.0
K,Consumer Staples,4,22,0.0017212159791917137,0.8333333333333334
HCA,Health Care,2,4,4.2602044506619743E-4,0.0
BLK,Financials,101,25,1.0,0.3681188118811881
FTI,Energy,21,19,0.0441350906798847,0.7380952380952381
HCN,Real Estate,10,1,0.006348846030616494,0.8222222222222222
NFX,Energy,17,19,0.022001106887415196,0.9926470588235294
MA,Information Technology,13,23,0.07560071168445077,0.47435897435897434
CBG,Real Estate,57,5,0.7072594923892173,0.6021303258145363
MO,Consumer Staples,14,22,0.01158484823015169,0.3076923076923077
NOC,Industrials,4,10,0.0014927920401334946,0.5
MU,Information Technology,2,23,7.733209301533793E-4,0.0
CBS,Consumer Discretionary,2,11,9.443321976231904E-4,1.0
OKE,Energy,12,19,0.015614860867607503,0.9545454545454546
UHS,Health Care,1,4,2.2986037226050253E-4,0.0
MS,Financials,72,5,0.9207589078569612,0.6259780907668232
TJX,Consumer Discretionary,1,8,2.1229114732236037E-4,0.0
NOV,Energy,6,19,0.00950703174677377,1.0
AMGN,Health Care,7,7,0.0017654295557529758,0.19047619047619047
FB,Information Technology,2,23,5.489985928486235E-4,1.0
FE,Utilities,12,22,0.018470220927177358,1.0
DPS,Consumer Staples,4,22,0.0020444899487739032,0.8333333333333334
DOV,Industrials,25,25,0.2691335871824351,0.6433333333333333
MSFT,Information Technology,6,23,0.006131525250156241,0.26666666666666666
GLW,Information Technology,4,25,0.03816724712691784,0.3333333333333333
SCHW,Financials,64,5,0.8654490905429986,0.7088293650793651
BSX,Health Care,3,23,9.248271008290673E-4,1.0
GGP,Real Estate,7,1,0.004873132923924373,1.0
FCX,Materials,2,25,0.010444977043463134,1.0
BDX,Health Care,6,23,0.004020119593700735,0.3333333333333333
WHR,Consumer Discretionary,4,23,0.024983691883142044,0.6666666666666666
EIX,Utilities,23,22,0.03476953759051542,0.9881422924901185
MDT,Health Care,5,23,0.001343199685705757,0.4
F,Consumer Discretionary,13,5,0.16626890307142775,0.782051282051282
DFS,Financials,43,5,0.6231261189562658,0.8637873754152824
JEC,Industrials,19,5,0.2673145585721098,0.8011695906432749
V,Information Technology,14,23,0.06302769709412478,0.3956043956043956
FMC,Materials,11,25,0.14046755520625454,0.8
ALL,Financials,7,25,0.040163905633377676,0.7619047619047619
ALK,Industrials,4,12,0.0014176641160635033,1.0
LMT,Industrials,2,10,5.312772908251752E-4,1.0
MMM,Industrials,14,25,0.13449776395686605,0.6593406593406593
SO,Utilities,22,22,0.03343396587361795,1.0
MMC,Financials,42,25,0.4143113148163645,0.462253193960511
ADBE,Information Technology,12,23,0.029105220367329553,0.3939393939393939
BAX,Health Care,2,23,6.495826637784066E-4,1.0
CAT,Industrials,49,25,0.5069251343764332,0.4736394557823129
CAH,Health Care,3,7,8.155688136352227E-4,0.6666666666666666
BAC,Financials,53,5,0.77669326620263,0.8686502177068215
GIS,Consumer Staples,10,22,0.004160055938737381,0.4444444444444444
CAG,Consumer Staples,1,22,6.255002168411786E-4,0.0
LH,Health Care,2,23,7.930589816386289E-4,1.0
PGR,Financials,4,25,0.007557003655299916,1.0
HIG,Financials,39,5,0.5235046715971919,0.7354925775978407
CELG,Health Care,5,7,0.0013098365954712977,0.4
WLTW,Financials,5,25,0.03843985096513931,0.5
A,Health Care,32,23,0.2585606158618804,0.4173387096774194
ABC,Health Care,2,7,5.087139523061052E-4,1.0
ZION,Financials,56,5,0.7971488563379187,0.8058441558441558
STI,Financials,53,5,0.7690418728813571,0.8526850507982583
STT,Financials,50,5,0.7298263530172124,0.8546938775510204
ABT,Health Care,3,23,0.0034492799583535406,0.6666666666666666
XOM,Energy,6,19,0.007258986334944913,1.0
STX,Information Technology,1,23,2.3078829506576758E-4,0.0
BHI,Energy,10,19,0.0140032775039802,1.0
CFG,Financials,43,5,0.6548838258948042,0.9723145071982281
PNR,Industrials,41,25,0.5267346138809228,0.6951219512195121
PNW,Utilities,27,22,0.038474521255852774,0.8290598290598291
AVB,Real Estate,16,1,0.009010473571840271,0.6
PNC,Financials,62,5,0.8575669402528664,0.7477525118984664
GOOGL,Information Technology,4,23,0.0011473887633499493,0.5
VFC,Consumer Discretionary,2,6,4.2602044506619743E-4,0.0
HAR,Consumer Discretionary,1,5,0.01880841735645255,0.0
AON,Financials,6,25,0.045777431339693295,0.6666666666666666
RAI,Consumer Staples,1,22,6.920832682899455E-4,0.0
PRU,Financials,56,5,0.8092596948526868,0.8266233766233766
RF,Financials,57,5,0.8212957929756421,0.8245614035087719
RL,Consumer Discretionary,1,9,2.489471647176335E-4,0.0
CHK,Energy,3,19,0.004280472258913476,1.0
L,Financials,59,5,0.7812668619203073,0.6855639976621859
HRS,Information Technology,2,5,0.03684294897777552,1.0
