id,0,degree,modularity_class,clustering,eigencentrality
CTAS,Industrials,186,5,0.6439407149084568,0.8303336654645325
EMR,Industrials,147,6,0.8012300810735253,0.7296095973883929
FDX,Industrials,152,5,0.7816312303938655,0.7447500720007726
CRM,Information Technology,2,8,1.0,4.3483919162008125E-4
PX,Materials,135,6,0.8367053620784964,0.6858438713579521
PG,Consumer Staples,3,7,1.0,0.008688663712854278
PH,Industrials,229,10,0.5515207232053934,0.9553766148289149
PM,Consumer Staples,7,7,0.8095238095238095,0.038527125377861335
EFX,Industrials,116,5,0.8509745127436282,0.5973644236866811
C,Financials,30,13,0.9701149425287356,0.1400760036077422
MHK,Consumer Discretionary,127,5,0.8213973253343332,0.6376829901886435
FOX,Consumer Discretionary,203,5,0.6186411744622738,0.8906548851286459
XRX,Information Technology,105,8,0.8661172161172161,0.5450335257241551
ITW,Industrials,220,10,0.5616853466168534,0.9236683560814225
MOS,Materials,1,9,0.0,6.889979653727359E-5
PSA,Real Estate,186,5,0.6669572798605057,0.8442000401949232
MCHP,Information Technology,141,8,0.6781155015197569,0.6417497660260504
ETR,Utilities,40,7,0.7615384615384615,0.13342031446088015
COP,Energy,239,6,0.5085615836292676,0.9554394740492541
DVN,Energy,120,6,0.7351540616246499,0.5623130765767204
PEP,Consumer Staples,2,7,1.0,0.006574294826796049
GWW,Industrials,194,5,0.6438758613321938,0.866760046067362
FISV,Information Technology,138,5,0.7854649317676928,0.6777830775012379
COG,Energy,37,6,0.8798798798798799,0.16142181774763562
COF,Financials,42,13,0.8641114982578397,0.17444692722277502
COH,Consumer Discretionary,96,5,0.8057017543859649,0.4779155688048009
PEG,Utilities,42,7,0.8095238095238095,0.15245925541904415
ETN,Industrials,197,10,0.6246244690769709,0.8672141274633469
COL,Industrials,220,10,0.5710668327106684,0.932346243558073
BCR,Health Care,6,10,0.8666666666666667,0.013330352572203797
KMX,Consumer Discretionary,2,8,0.0,0.008569817859131211
ZBH,Health Care,5,10,0.8,0.010495421621686334
CI,Health Care,4,3,1.0,3.016490736347619E-4
SRE,Utilities,30,7,0.896551724137931,0.11191827864442355
CB,Financials,38,13,0.9317211948790897,0.20782695645318036
CA,Information Technology,180,8,0.6527001862197392,0.807842334523589
CF,Materials,1,9,0.0,6.889979653727359E-5
WAT,Health Care,107,10,0.8409451595838476,0.5461898224289861
CHRW,Industrials,58,10,0.9286146400483969,0.3185924156491689
TDG,Industrials,112,5,0.8566602316602316,0.5723185844206243
SBUX,Consumer Discretionary,96,5,0.8276315789473684,0.48351332114535556
